ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://ces.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/ces.acronis.com_vhost.json

host: 127.0.0.1           | status: 403 | length: 202 | words: 15 | lines: 9 |
host: admin               | status: 403 | length: 202 | words: 15 | lines: 9 |
host: 10.100.100.255      | status: 403 | length: 202 | words: 15 | lines: 9 |
host: admin.%s            | status: 403 | length: 202 | words: 15 | lines: 9 |
host: 224.0.0.18          | status: 403 | length: 202 | words: 15 | lines: 9 |
host: 10.100.100.56       | status: 403 | length: 202 | words: 15 | lines: 9 |
host: 10.100.100.63       | status: 403 | length: 202 | words: 15 | lines: 9 |
host: %s                  | status: 403 | length: 202 | words: 15 | lines: 9 |
host:                     | status: 403 | length: 202 | words: 15 | lines: 9 |
host: 10.100.100.0        | status: 403 | length: 202 | words: 15 | lines: 9 |
host: administration.%s   | status: 403 | length: 202 | words: 15 | lines: 9 |
host: administration      | status: 403 | length: 202 | words: 15 | lines: 9 |
host: ads                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: alerts              | status: 403 | length: 202 | words: 15 | lines: 9 |
host: adserver            | status: 403 | length: 202 | words: 15 | lines: 9 |
host: alpha               | status: 403 | length: 202 | words: 15 | lines: 9 |
host: alpha.%s            | status: 403 | length: 202 | words: 15 | lines: 9 |
host: ap                  | status: 403 | length: 202 | words: 15 | lines: 9 |
host: apache              | status: 403 | length: 202 | words: 15 | lines: 9 |
host: api                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: app                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: apps                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: appserver           | status: 403 | length: 202 | words: 15 | lines: 9 |
host: aptest              | status: 403 | length: 202 | words: 15 | lines: 9 |
host: auth                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: backup              | status: 403 | length: 202 | words: 15 | lines: 9 |
host: beta                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: beta.%s             | status: 403 | length: 202 | words: 15 | lines: 9 |
host: cdn                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: blog                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: chat                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: citrix              | status: 403 | length: 202 | words: 15 | lines: 9 |
host: cms                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: dashboard           | status: 403 | length: 202 | words: 15 | lines: 9 |
host: database            | status: 403 | length: 202 | words: 15 | lines: 9 |
host: corp                | status: 403 | length: 202 | words: 15 | lines: 9 |
host: crs                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: db                  | status: 403 | length: 202 | words: 15 | lines: 9 |
host: cvs                 | status: 403 | length: 202 | words: 15 | lines: 9 |
host: demo                | status: 403 | length: 202 | words: 15 | lines: 9 |
