ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://cftp.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/cftp.acronis.com_vhost.json

host: 224.0.0.18          | status: 302 | length: 269 | words: 17 | lines: 10 |
host: 10.100.100.56       | status: 302 | length: 272 | words: 17 | lines: 10 |
host: 10.100.100.63       | status: 302 | length: 272 | words: 17 | lines: 10 |
host: 10.100.100.0        | status: 302 | length: 271 | words: 17 | lines: 10 |
host:                     | status: 302 | length: 275 | words: 17 | lines: 10 |
host: 10.100.100.255      | status: 302 | length: 273 | words: 17 | lines: 10 |
host: 127.0.0.1           | status: 302 | length: 268 | words: 17 | lines: 10 |
host: admin               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: alerts              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: ap                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: adserver            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: ads                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: administration      | status: 302 | length: 273 | words: 17 | lines: 10 |
host: alpha               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: apache              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: api                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: app                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: apps                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: aptest              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: backup              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: appserver           | status: 302 | length: 268 | words: 17 | lines: 10 |
host: auth                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: beta                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: blog                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: cdn                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: chat                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: cms                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: citrix              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: corp                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: crs                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: cvs                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: database            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: dashboard           | status: 302 | length: 268 | words: 17 | lines: 10 |
host: db                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: demo                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: dev                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: development         | status: 302 | length: 270 | words: 17 | lines: 10 |
host: devel               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: devsql              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: devtest             | status: 302 | length: 266 | words: 17 | lines: 10 |
host: dhcp                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: direct              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: dmz                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: dns                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: dns2                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: dns0                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: dns1                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: download            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: en                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: erp                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: eshop               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: exchange            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: f5                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: firewall            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: fileserver          | status: 302 | length: 269 | words: 17 | lines: 10 |
host: ftp                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: forum               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: ftp0                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: git                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: gw                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: help                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: helpdesk            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: home                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: id                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: http                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: host                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: images              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: info                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: internal            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: internet            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: intra               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: intranet            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: ipv6                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: lab                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: local               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: ldap                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: linux               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: log                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: localhost           | status: 302 | length: 268 | words: 17 | lines: 10 |
host: m                   | status: 302 | length: 260 | words: 17 | lines: 10 |
host: mail                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: mail2               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: mail3               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: mailgate            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: manage              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: main                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: mirror              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: mgmt                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: mobile              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: monitor             | status: 302 | length: 266 | words: 17 | lines: 10 |
host: mta                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: mssql               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: mx                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: mx0                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: mx1                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: noc                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: news                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: mysql               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: ns                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: ns0                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: ns1                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: ns2                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: ntp                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: ns3                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: old                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: oracle              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: ops                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: owa                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: pbx                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: s3                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: portal              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: server              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: sharepoint          | status: 302 | length: 269 | words: 17 | lines: 10 |
host: secure              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: shop                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: smtp                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: sip                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: sql                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: squid               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: ssh                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: ssl                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: stage               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: staging             | status: 302 | length: 266 | words: 17 | lines: 10 |
host: stats               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: status              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: svn                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: test                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: syslog              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: test1               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: test2               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: uat                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: testing             | status: 302 | length: 266 | words: 17 | lines: 10 |
host: upload              | status: 302 | length: 265 | words: 17 | lines: 10 |
host: v1                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: v3                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: v2                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: vm                  | status: 302 | length: 261 | words: 17 | lines: 10 |
host: vnc                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: vpn                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: voip                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: web                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: web2test            | status: 302 | length: 267 | words: 17 | lines: 10 |
host: wiki                | status: 302 | length: 263 | words: 17 | lines: 10 |
host: whois               | status: 302 | length: 264 | words: 17 | lines: 10 |
host: www                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: xml                 | status: 302 | length: 262 | words: 17 | lines: 10 |
host: www2                | status: 302 | length: 263 | words: 17 | lines: 10 |
