ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://cz.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/cz.acronis.com_vhost.json

host: 10.100.100.0        | status: 301 | length: 0 | words: 1 | lines: 1 |
host: 10.100.100.63       | status: 301 | length: 0 | words: 1 | lines: 1 |
host: 224.0.0.18          | status: 301 | length: 0 | words: 1 | lines: 1 |
host: administration      | status: 301 | length: 0 | words: 1 | lines: 1 |
host: 127.0.0.1           | status: 301 | length: 0 | words: 1 | lines: 1 |
host: ads                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: alerts              | status: 301 | length: 0 | words: 1 | lines: 1 |
host: alpha               | status: 301 | length: 0 | words: 1 | lines: 1 |
host: ap                  | status: 301 | length: 0 | words: 1 | lines: 1 |
host: apache              | status: 301 | length: 0 | words: 1 | lines: 1 |
host: api                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: appserver           | status: 301 | length: 0 | words: 1 | lines: 1 |
host: apps                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: app                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: backup              | status: 301 | length: 0 | words: 1 | lines: 1 |
host: auth                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: beta                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: blog                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: cdn                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: citrix              | status: 301 | length: 0 | words: 1 | lines: 1 |
host: cms                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: corp                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: crs                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: 10.100.100.56       | status: 301 | length: 0 | words: 1 | lines: 1 |
host: cvs                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: dashboard           | status: 301 | length: 0 | words: 1 | lines: 1 |
host: db                  | status: 301 | length: 0 | words: 1 | lines: 1 |
host: dev                 | status: 301 | length: 0 | words: 1 | lines: 1 |
host: demo                | status: 301 | length: 0 | words: 1 | lines: 1 |
host: development         | status: 301 | length: 0 | words: 1 | lines: 1 |
host: devel               | status: 301 | length: 0 | words: 1 | lines: 1 |
host: devsql              | status: 301 | length: 0 | words: 1 | lines: 1 |
host: devtest             | status: 301 | length: 0 | words: 1 | lines: 1 |
host: dhcp                | status: 301 | length: 0 | words: 1 | lines: 1 |
