ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://digitalriver.webdev.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/digitalriver.webdev.acronis.com_vhost.json

host:                     | status: 401 | length: 172 | words: 5 | lines: 8 |
host: 10.100.100.63       | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: %s                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: 127.0.0.1           | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: 10.100.100.0        | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: 10.100.100.255      | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: 10.100.100.56       | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: admin.%s            | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: admin               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: 224.0.0.18          | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: administration      | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: administration.%s   | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: adserver            | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ads                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: alerts              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: alpha.%s            | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: alpha               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ap                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: apache              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: api                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: app                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: apps                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: appserver           | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: aptest              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: auth                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: backup              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: beta                | status: 200 | length: 10215 | words: 733 | lines: 312 |
