ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://email.cloud.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/email.cloud.acronis.com_vhost.json

host: 10.100.100.63       | status: 301 | length: 221 | words: 9 | lines: 7 |
host: admin               | status: 301 | length: 221 | words: 9 | lines: 7 |
host: 10.100.100.255      | status: 301 | length: 221 | words: 9 | lines: 7 |
host: 10.100.100.0        | status: 301 | length: 221 | words: 9 | lines: 7 |
host:                     | status: 302 | length: 221 | words: 9 | lines: 7 |
host: 224.0.0.18          | status: 301 | length: 221 | words: 9 | lines: 7 |
host: 10.100.100.56       | status: 301 | length: 221 | words: 9 | lines: 7 |
host: alpha               | status: 301 | length: 221 | words: 9 | lines: 7 |
host: adserver            | status: 301 | length: 221 | words: 9 | lines: 7 |
host: ads                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: administration      | status: 301 | length: 221 | words: 9 | lines: 7 |
host: 127.0.0.1           | status: 301 | length: 221 | words: 9 | lines: 7 |
host: alerts              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: apache              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: ap                  | status: 301 | length: 221 | words: 9 | lines: 7 |
host: api                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: aptest              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: appserver           | status: 301 | length: 221 | words: 9 | lines: 7 |
host: apps                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: app                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: beta                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: auth                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: backup              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: blog                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: chat                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: cdn                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: citrix              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: demo                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: db                  | status: 301 | length: 221 | words: 9 | lines: 7 |
host: database            | status: 301 | length: 221 | words: 9 | lines: 7 |
host: cvs                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: cms                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: corp                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dashboard           | status: 301 | length: 221 | words: 9 | lines: 7 |
host: crs                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dev                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dmz                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dhcp                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: devtest             | status: 301 | length: 221 | words: 9 | lines: 7 |
host: direct              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: devsql              | status: 301 | length: 221 | words: 9 | lines: 7 |
host: development         | status: 301 | length: 221 | words: 9 | lines: 7 |
host: devel               | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dns2                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dns1                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dns0                | status: 301 | length: 221 | words: 9 | lines: 7 |
host: dns                 | status: 301 | length: 221 | words: 9 | lines: 7 |
host: fileserver          | status: 301 | length: 221 | words: 9 | lines: 7 |
host: firewall            | status: 301 | length: 221 | words: 9 | lines: 7 |
host: exchange            | status: 301 | length: 221 | words: 9 | lines: 7 |
