ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://i4.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/i4.acronis.com_vhost.json

host: admin.%s            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 224.0.0.18          | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 127.0.0.1           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 10.100.100.255      | status: 301 | length: 178 | words: 6 | lines: 8 |
host: admin               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 10.100.100.56       | status: 301 | length: 178 | words: 6 | lines: 8 |
host: %s                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 10.100.100.0        | status: 301 | length: 178 | words: 6 | lines: 8 |
host: 10.100.100.63       | status: 301 | length: 178 | words: 6 | lines: 8 |
host:                     | status: 403 | length: 744 | words: 321 | lines: 28 |
host: administration      | status: 301 | length: 178 | words: 6 | lines: 8 |
host: administration.%s   | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ads                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: alerts              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: adserver            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: alpha               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: alpha.%s            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: apache              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ap                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: api                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: app                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: apps                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: appserver           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: aptest              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: auth                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: backup              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: beta.%s             | status: 301 | length: 178 | words: 6 | lines: 8 |
host: blog                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: beta                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: cdn                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: chat                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: citrix              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: corp                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: cms                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: crs                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: cvs                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dashboard           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: database            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: db                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: demo                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dev                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dev.%s              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: devel               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: development         | status: 301 | length: 178 | words: 6 | lines: 8 |
host: development.%s      | status: 301 | length: 178 | words: 6 | lines: 8 |
host: devsql              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: devtest             | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dhcp                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: direct              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dmz                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dns                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dns0                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dns1                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: en                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: download            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: dns2                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: erp                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: eshop               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: exchange            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: f5                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: fileserver          | status: 301 | length: 178 | words: 6 | lines: 8 |
host: firewall            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: forum               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ftp                 | status: 301 | length: 178 | words: 6 | lines: 8 |
