ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://mail.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/mail.acronis.com_vhost.json

host: 10.100.100.0        | status: 302 | length: 0 | words: 1 | lines: 1 |
host: admin               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 10.100.100.63       | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 127.0.0.1           | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 224.0.0.18          | status: 302 | length: 0 | words: 1 | lines: 1 |
host:                     | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 10.100.100.56       | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 10.100.100.255      | status: 302 | length: 0 | words: 1 | lines: 1 |
host: administration      | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ads                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: alerts              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: adserver            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: api                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: alpha               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ap                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: apache              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: app                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: appserver           | status: 302 | length: 0 | words: 1 | lines: 1 |
host: auth                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: aptest              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: backup              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: beta                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: apps                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: blog                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: cdn                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: citrix              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: cms                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: chat                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: cvs                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: corp                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: database            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dashboard           | status: 302 | length: 0 | words: 1 | lines: 1 |
host: crs                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: demo                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: db                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dev                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: devel               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: devsql              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: development         | status: 302 | length: 0 | words: 1 | lines: 1 |
host: devtest             | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dhcp                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: direct              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dmz                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dns                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dns1                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dns0                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: download            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: dns2                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: en                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: erp                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: exchange            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: eshop               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: f5                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: forum               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: fileserver          | status: 302 | length: 0 | words: 1 | lines: 1 |
host: firewall            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ftp                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: gw                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ftp0                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: git                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: helpdesk            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: help                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: home                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: id                  | status: 302 | length: 0 | words: 1 | lines: 1 |
host: host                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: http                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: images              | status: 302 | length: 0 | words: 1 | lines: 1 |
host: info                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: internet            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: internal            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ipv6                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: intra               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: intranet            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: ldap                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: linux               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: local               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: lab                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: localhost           | status: 302 | length: 0 | words: 1 | lines: 1 |
host: m                   | status: 302 | length: 0 | words: 1 | lines: 1 |
host: log                 | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mail                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mail2               | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mailgate            | status: 302 | length: 0 | words: 1 | lines: 1 |
host: main                | status: 302 | length: 0 | words: 1 | lines: 1 |
host: mail3               | status: 302 | length: 0 | words: 1 | lines: 1 |
