ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://meet.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/meet.acronis.com_vhost.json

host: 224.0.0.18          | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: admin               | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: administration      | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: 10.100.100.56       | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: 127.0.0.1           | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: 10.100.100.255      | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: 10.100.100.0        | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: 10.100.100.63       | status: 403 | length: 1233 | words: 73 | lines: 30 |
host:                     | status: 200 | length: 57588 | words: 23458 | lines: 860 |
host: ads                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: adserver            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: alerts              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: alpha               | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: ap                  | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: apache              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: api                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: appserver           | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: apps                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: app                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: aptest              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: auth                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: cdn                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: beta                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: blog                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: backup              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: cms                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: crs                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: database            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: citrix              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dashboard           | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: chat                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: cvs                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: corp                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: db                  | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dev                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: demo                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: devel               | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dhcp                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: devsql              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dmz                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: direct              | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: devtest             | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dns                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: development         | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dns1                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: erp                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: eshop               | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: en                  | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dns2                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: exchange            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: download            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: fileserver          | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: dns0                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: firewall            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: f5                  | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: forum               | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: ftp                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: helpdesk            | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: git                 | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: gw                  | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: ftp0                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: help                | status: 403 | length: 1233 | words: 73 | lines: 30 |
host: home                | status: 403 | length: 1233 | words: 73 | lines: 30 |
