ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://mm.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/mm.acronis.com_vhost.json

host: 10.100.100.56       | status: 200 | length: 3677 | words: 774 | lines: 85 |
host:                     | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: 127.0.0.1           | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: 10.100.100.63       | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: admin               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: 10.100.100.0        | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: %s                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: 10.100.100.255      | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: 224.0.0.18          | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: alerts              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: administration      | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: administration.%s   | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: alpha               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ads                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: admin.%s            | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: adserver            | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: alpha.%s            | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ap                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: apache              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: appserver           | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: apps                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: app                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: api                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: auth                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: backup              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: aptest              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: beta                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: beta.%s             | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: chat                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: crs                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: blog                | status: 200 | length: 3677 | words: 774 | lines: 85 |
