ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://nwww.partners.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/nwww.partners.acronis.com_vhost.json

host: 10.100.100.63       | status: 302 | length: 138 | words: 3 | lines: 8 |
host: 10.100.100.0        | status: 302 | length: 138 | words: 3 | lines: 8 |
host: 127.0.0.1           | status: 302 | length: 138 | words: 3 | lines: 8 |
host: admin.%s            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: %s                  | status: 302 | length: 138 | words: 3 | lines: 8 |
host: 10.100.100.255      | status: 302 | length: 138 | words: 3 | lines: 8 |
host: admin               | status: 302 | length: 138 | words: 3 | lines: 8 |
host: 224.0.0.18          | status: 302 | length: 138 | words: 3 | lines: 8 |
host: 10.100.100.56       | status: 302 | length: 138 | words: 3 | lines: 8 |
host:                     | status: 302 | length: 138 | words: 3 | lines: 8 |
host: administration      | status: 302 | length: 138 | words: 3 | lines: 8 |
host: administration.%s   | status: 302 | length: 138 | words: 3 | lines: 8 |
host: ads                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: adserver            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: alerts              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: alpha               | status: 302 | length: 138 | words: 3 | lines: 8 |
host: alpha.%s            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: ap                  | status: 302 | length: 138 | words: 3 | lines: 8 |
host: apache              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: api                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: app                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: appserver           | status: 302 | length: 138 | words: 3 | lines: 8 |
host: apps                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: aptest              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: backup              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: auth                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: beta                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: beta.%s             | status: 302 | length: 138 | words: 3 | lines: 8 |
host: blog                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: cdn                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: chat                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: citrix              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: cms                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: corp                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: crs                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: cvs                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dashboard           | status: 302 | length: 138 | words: 3 | lines: 8 |
host: database            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: db                  | status: 302 | length: 138 | words: 3 | lines: 8 |
host: demo                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dev                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dev.%s              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: devel               | status: 302 | length: 138 | words: 3 | lines: 8 |
host: development.%s      | status: 302 | length: 138 | words: 3 | lines: 8 |
host: devsql              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: development         | status: 302 | length: 138 | words: 3 | lines: 8 |
host: devtest             | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dhcp                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: direct              | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dmz                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dns                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dns0                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dns2                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: dns1                | status: 302 | length: 138 | words: 3 | lines: 8 |
host: download            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: erp                 | status: 302 | length: 138 | words: 3 | lines: 8 |
host: eshop               | status: 302 | length: 138 | words: 3 | lines: 8 |
host: en                  | status: 302 | length: 138 | words: 3 | lines: 8 |
host: exchange            | status: 302 | length: 138 | words: 3 | lines: 8 |
host: f5                  | status: 302 | length: 138 | words: 3 | lines: 8 |
host: fileserver          | status: 302 | length: 138 | words: 3 | lines: 8 |
host: firewall            | status: 302 | length: 138 | words: 3 | lines: 8 |
