ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://rpc.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/rpc.acronis.com_vhost.json

host:                     | status: 403 | length: 386 | words: 35 | lines: 13 |
host: 10.100.100.0        | status: 403 | length: 383 | words: 35 | lines: 13 |
host: 127.0.0.1           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: admin               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: 10.100.100.255      | status: 403 | length: 385 | words: 35 | lines: 13 |
host: admin.%s            | status: 403 | length: 379 | words: 35 | lines: 13 |
host: 10.100.100.63       | status: 403 | length: 384 | words: 35 | lines: 13 |
host: %s                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: 224.0.0.18          | status: 403 | length: 381 | words: 35 | lines: 13 |
host: 10.100.100.56       | status: 403 | length: 384 | words: 35 | lines: 13 |
host: administration.%s   | status: 403 | length: 388 | words: 35 | lines: 13 |
host: administration      | status: 403 | length: 385 | words: 35 | lines: 13 |
host: ads                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: alerts              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: alpha               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: adserver            | status: 403 | length: 379 | words: 35 | lines: 13 |
host: alpha.%s            | status: 403 | length: 379 | words: 35 | lines: 13 |
host: ap                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: apache              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: api                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: apps                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: appserver           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: aptest              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: auth                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: app                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: beta.%s             | status: 403 | length: 378 | words: 35 | lines: 13 |
host: beta                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: backup              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: cdn                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: blog                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: chat                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: citrix              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: crs                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: cms                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: cvs                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: corp                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: dashboard           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: db                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: database            | status: 403 | length: 379 | words: 35 | lines: 13 |
host: demo                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: devel               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: dev                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: dev.%s              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: development         | status: 403 | length: 382 | words: 35 | lines: 13 |
host: development.%s      | status: 403 | length: 385 | words: 35 | lines: 13 |
host: devsql              | status: 403 | length: 377 | words: 35 | lines: 13 |
