ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://sg-mobilecho.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/sg-mobilecho.acronis.com_vhost.json

host:                     | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 10.100.100.56       | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 127.0.0.1           | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 10.100.100.255      | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: admin               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 224.0.0.18          | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 10.100.100.63       | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: 10.100.100.0        | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: administration      | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: adserver            | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ads                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: alerts              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ap                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: alpha               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: apache              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: api                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: aptest              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: app                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: apps                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: appserver           | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: backup              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: beta                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: blog                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: cdn                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: auth                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: citrix              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: cms                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: cvs                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
