ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://ti.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/ti.acronis.com_vhost.json

host: %s                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host:                     | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 10.100.100.255      | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 10.100.100.56       | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 127.0.0.1           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 224.0.0.18          | status: 200 | length: 101 | words: 8 | lines: 7 |
host: admin               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 10.100.100.63       | status: 200 | length: 101 | words: 8 | lines: 7 |
host: 10.100.100.0        | status: 200 | length: 101 | words: 8 | lines: 7 |
host: admin.%s            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: administration      | status: 200 | length: 101 | words: 8 | lines: 7 |
host: administration.%s   | status: 200 | length: 101 | words: 8 | lines: 7 |
host: alerts              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: adserver            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ads                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ap                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: apache              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: alpha               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: alpha.%s            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: api                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: appserver           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: app                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: backup              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: beta                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: apps                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: auth                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: aptest              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: blog                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: beta.%s             | status: 200 | length: 101 | words: 8 | lines: 7 |
host: cdn                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: chat                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: crs                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: cms                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: corp                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dashboard           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: citrix              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: db                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: database            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: demo                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: cvs                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dev                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dev.%s              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: devel               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: devsql              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dhcp                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: development         | status: 200 | length: 101 | words: 8 | lines: 7 |
host: devtest             | status: 200 | length: 101 | words: 8 | lines: 7 |
host: development.%s      | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dmz                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: direct              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dns                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dns1                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: en                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dns0                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: download            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: eshop               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: dns2                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: exchange            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: erp                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: f5                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: fileserver          | status: 200 | length: 101 | words: 8 | lines: 7 |
host: firewall            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ftp                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: forum               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: git                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ftp0                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: help                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: gw                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: helpdesk            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: home                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: host                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: http                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: info                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: intra               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: id                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: images              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: internet            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: internal            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: intranet            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ipv6                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: lab                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: linux               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: localhost           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: log                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ldap                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: m.%s                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mail                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: local               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: m                   | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mail2               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mail3               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mailgate            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: main                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: manage              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mobile              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mobile.%s           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mgmt                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mirror              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mssql               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: monitor             | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mta                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mx                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mx1                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mx0                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: noc                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: news                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: mysql               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ns                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ns0                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ns1                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ns3                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ns2                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ntp                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: old                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: old.%s              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: ops                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: oracle              | status: 200 | length: 101 | words: 8 | lines: 7 |
