ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://tryaccess.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/tryaccess.acronis.com_vhost.json

host: 127.0.0.1           | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: 10.100.100.255      | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: 224.0.0.18          | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: 10.100.100.0        | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: 10.100.100.63       | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: admin               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: 10.100.100.56       | status: 200 | length: 1819 | words: 77 | lines: 58 |
host:                     | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: administration      | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ads                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: adserver            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: alerts              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: alpha               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ap                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: apache              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: api                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: app                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: apps                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: appserver           | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: aptest              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: auth                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: backup              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: beta                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: blog                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: cdn                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: chat                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: citrix              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: cms                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: corp                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: crs                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dashboard           | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: cvs                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: database            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: db                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: demo                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dev                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: devel               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: development         | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: devsql              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dhcp                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: devtest             | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: direct              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dmz                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dns                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dns0                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dns1                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: dns2                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: download            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: en                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: erp                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: eshop               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: exchange            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: f5                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: fileserver          | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: firewall            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: forum               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ftp                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ftp0                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: git                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: gw                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: help                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: helpdesk            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: home                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: host                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: http                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: id                  | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: images              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: info                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: internal            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: internet            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: intra               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: intranet            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ipv6                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: lab                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: ldap                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: linux               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: local               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: localhost           | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: log                 | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: m                   | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mail                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mail2               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mail3               | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mailgate            | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: main                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: manage              | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mgmt                | status: 200 | length: 1819 | words: 77 | lines: 58 |
host: mirror              | status: 200 | length: 1819 | words: 77 | lines: 58 |
