ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://us-az-vpn.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/us-az-vpn.acronis.com_vhost.json

host: 10.100.100.255      | status: 200 | length: 315 | words: 85 | lines: 9 |
host: admin               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: 224.0.0.18          | status: 200 | length: 315 | words: 85 | lines: 9 |
host: 10.100.100.63       | status: 200 | length: 315 | words: 85 | lines: 9 |
host:                     | status: 200 | length: 99 | words: 1 | lines: 1 |
host: admin.%s            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: %s                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: 127.0.0.1           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: 10.100.100.56       | status: 200 | length: 315 | words: 85 | lines: 9 |
host: 10.100.100.0        | status: 200 | length: 315 | words: 85 | lines: 9 |
host: administration      | status: 200 | length: 315 | words: 85 | lines: 9 |
host: administration.%s   | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ads                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: adserver            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: alerts              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: alpha               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: alpha.%s            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ap                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: apache              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: api                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: app                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: apps                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: appserver           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: aptest              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: auth                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: backup              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: beta                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: beta.%s             | status: 200 | length: 315 | words: 85 | lines: 9 |
host: blog                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: cdn                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: chat                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: citrix              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: corp                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: cms                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dashboard           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: cvs                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: crs                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: database            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: db                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: demo                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dev                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: development.%s      | status: 200 | length: 315 | words: 85 | lines: 9 |
host: development         | status: 200 | length: 315 | words: 85 | lines: 9 |
host: devsql              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dev.%s              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: devel               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: devtest             | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dhcp                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: direct              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dmz                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: download            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dns0                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dns2                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dns1                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: dns                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: erp                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: en                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: eshop               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: f5                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: exchange            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: fileserver          | status: 200 | length: 315 | words: 85 | lines: 9 |
host: forum               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: firewall            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ftp                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ftp0                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: gw                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: git                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: help                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: helpdesk            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: home                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: host                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: http                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: id                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: images              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: info                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: internal            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: internet            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: intra               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: intranet            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ipv6                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: lab                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ldap                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: linux               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: local               | status: 200 | length: 315 | words: 85 | lines: 9 |
