ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://us4-cloud.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/us4-cloud.acronis.com_vhost.json

host:                     | status: 302 | length: 0 | words: 1 | lines: 1 |
host: 127.0.0.1           | status: 200 | length: 570 | words: 21 | lines: 1 |
host: 224.0.0.18          | status: 200 | length: 570 | words: 21 | lines: 1 |
host: admin.%s            | status: 200 | length: 570 | words: 21 | lines: 1 |
host: 10.100.100.56       | status: 200 | length: 570 | words: 21 | lines: 1 |
host: admin               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: 10.100.100.63       | status: 200 | length: 570 | words: 21 | lines: 1 |
host: 10.100.100.0        | status: 200 | length: 570 | words: 21 | lines: 1 |
host: 10.100.100.255      | status: 200 | length: 570 | words: 21 | lines: 1 |
host: %s                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: administration      | status: 200 | length: 570 | words: 21 | lines: 1 |
host: administration.%s   | status: 200 | length: 570 | words: 21 | lines: 1 |
host: alerts              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: alpha               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: adserver            | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ads                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: alpha.%s            | status: 200 | length: 570 | words: 21 | lines: 1 |
host: apache              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ap                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: api                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: app                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: apps                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: appserver           | status: 200 | length: 570 | words: 21 | lines: 1 |
host: auth                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: aptest              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: backup              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: blog                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: beta.%s             | status: 200 | length: 570 | words: 21 | lines: 1 |
host: beta                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: cdn                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: chat                | status: 200 | length: 570 | words: 21 | lines: 1 |
