ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://vcda.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/vcda.acronis.com_vhost.json

host: 127.0.0.1           | status: 200 | length: 108 | words: 13 | lines: 6 |
host: 10.100.100.255      | status: 200 | length: 108 | words: 13 | lines: 6 |
host: 10.100.100.0        | status: 200 | length: 108 | words: 13 | lines: 6 |
host: 224.0.0.18          | status: 200 | length: 108 | words: 13 | lines: 6 |
host: 10.100.100.56       | status: 200 | length: 108 | words: 13 | lines: 6 |
host: admin               | status: 200 | length: 108 | words: 13 | lines: 6 |
host:                     | status: 200 | length: 108 | words: 13 | lines: 6 |
host: 10.100.100.63       | status: 200 | length: 108 | words: 13 | lines: 6 |
host: administration      | status: 200 | length: 108 | words: 13 | lines: 6 |
host: ads                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: adserver            | status: 200 | length: 108 | words: 13 | lines: 6 |
host: alerts              | status: 200 | length: 108 | words: 13 | lines: 6 |
host: alpha               | status: 200 | length: 108 | words: 13 | lines: 6 |
host: apache              | status: 200 | length: 108 | words: 13 | lines: 6 |
host: ap                  | status: 200 | length: 108 | words: 13 | lines: 6 |
host: api                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: apps                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: app                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: appserver           | status: 200 | length: 108 | words: 13 | lines: 6 |
host: aptest              | status: 200 | length: 108 | words: 13 | lines: 6 |
host: auth                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: backup              | status: 200 | length: 108 | words: 13 | lines: 6 |
host: beta                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: blog                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: cdn                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: chat                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: citrix              | status: 200 | length: 108 | words: 13 | lines: 6 |
host: corp                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: cms                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: crs                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: cvs                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: dashboard           | status: 200 | length: 108 | words: 13 | lines: 6 |
host: db                  | status: 200 | length: 108 | words: 13 | lines: 6 |
host: database            | status: 200 | length: 108 | words: 13 | lines: 6 |
host: demo                | status: 200 | length: 108 | words: 13 | lines: 6 |
host: dev                 | status: 200 | length: 108 | words: 13 | lines: 6 |
host: development         | status: 200 | length: 108 | words: 13 | lines: 6 |
host: devel               | status: 200 | length: 108 | words: 13 | lines: 6 |
